날짜,종가,오픈,고가,저가,거래량,변동 %
2018-05-02,"2,153.48","2,164.69","2,165.23","2,150.46",35.29M,-0.57%
2018-05-03,"2,144.70","2,157.41","2,158.48","2,144.70",25.05M,-0.41%
2018-05-04,"2,111.17","2,146.42","2,148.28","2,111.17",68.62M,-1.56%
2018-05-08,"2,108.31","2,118.16","2,132.43","2,101.16",52.46M,-0.14%
2018-05-09,"2,094.23","2,108.23","2,109.74","2,083.87",44.07M,-0.67%
2018-05-10,"2,111.01","2,109.08","2,114.63","2,096.83",44.32M,0.80%
2018-05-11,"2,113.69","2,115.87","2,127.32","2,111.62",31.73M,0.13%
2018-05-14,"2,098.25","2,114.01","2,116.53","2,093.44",37.47M,-0.73%
2018-05-15,"2,078.20","2,098.92","2,103.03","2,075.73",41.07M,-0.96%
2018-05-16,"2,092.59","2,075.27","2,097.26","2,075.25",40.02M,0.69%
2018-05-17,"2,082.27","2,104.17","2,104.96","2,082.27",30.91M,-0.49%
2018-05-18,"2,085.82","2,090.82","2,092.78","2,081.79",26.46M,0.17%
2018-05-21,"2,095.17","2,088.30","2,102.01","2,074.28",27.21M,0.45%
2018-05-23,"2,117.76","2,102.49","2,122.96","2,099.16",50.30M,1.08%
2018-05-24,"2,110.60","2,120.32","2,123.63","2,103.86",30.64M,-0.34%
2018-05-25,"2,125.35","2,101.38","2,130.20","2,100.71",40.56M,0.70%
2018-05-28,"2,117.62","2,123.72","2,129.82","2,115.44",37.05M,-0.36%
2018-05-29,"2,099.00","2,115.60","2,122.63","2,098.52",31.88M,-0.88%
2018-05-30,"2,049.53","2,087.61","2,091.04","2,041.61",53.44M,-2.36%
2018-05-31,"2,059.88","2,069.11","2,070.43","2,052.29",108.24M,0.50%
2018-06-01,"2,077.37","2,051.63","2,083.16","2,050.42",38.89M,0.85%
2018-06-04,"2,088.32","2,077.62","2,091.55","2,073.82",36.66M,0.53%
2018-06-05,"2,094.67","2,090.64","2,096.55","2,075.61",31.73M,0.30%
2018-06-07,"2,105.95","2,111.28","2,118.22","2,100.86",42.85M,0.54%
2018-06-08,"2,087.48","2,098.26","2,102.42","2,084.07",45.34M,-0.88%
2018-06-11,"2,098.90","2,088.34","2,100.38","2,078.33",33.25M,0.55%
2018-06-12,"2,096.31","2,102.44","2,105.39","2,092.03",36.82M,-0.12%
2018-06-14,"2,060.63","2,083.48","2,083.95","2,059.70",55.97M,-1.70%
2018-06-15,"2,043.57","2,068.90","2,069.60","2,043.57",51.31M,-0.83%
2018-06-18,"2,023.67","2,042.66","2,043.58","2,012.87",47.00M,-0.97%
2018-06-19,"2,002.38","2,022.13","2,026.90","1,997.47",44.92M,-1.05%
2018-06-20,"2,018.10","2,014.85","2,030.41","2,006.87",44.16M,0.79%
2018-06-21,"1,999.42","2,020.67","2,025.40","1,999.42",38.88M,-0.93%
2018-06-22,"2,018.40","1,983.36","2,018.62","1,982.72",36.63M,0.95%
2018-06-25,"2,010.38","2,011.70","2,015.56","1,995.92",33.05M,-0.40%
2018-06-26,"2,011.24","1,989.18","2,018.02","1,987.69",37.81M,0.04%
2018-06-27,"2,013.86","2,012.87","2,027.29","2,006.85",41.96M,0.13%
2018-06-28,"1,981.07","1,993.33","1,998.46","1,977.10",38.30M,-1.63%
2018-06-29,"1,990.06","1,985.94","1,996.27","1,968.06",40.92M,0.45%
2018-07-02,"1,949.37","1,987.80","1,995.40","1,949.37",37.01M,-2.04%
2018-07-03,"1,954.57","1,962.35","1,963.82","1,940.43",33.20M,0.27%
2018-07-04,"1,947.28","1,959.42","1,966.01","1,945.91",27.88M,-0.37%
2018-07-05,"1,944.92","1,945.85","1,956.36","1,933.59",25.26M,-0.12%
2018-07-06,"1,945.95","1,946.77","1,957.74","1,929.78",46.51M,0.05%
2018-07-09,"1,967.22","1,953.75","1,976.60","1,947.53",34.11M,1.09%
2018-07-10,"1,974.54","1,980.62","1,986.71","1,971.65",32.75M,0.37%
2018-07-11,"1,963.11","1,958.80","1,968.21","1,945.51",42.14M,-0.58%
2018-07-12,"1,962.68","1,964.72","1,977.61","1,957.27",39.86M,-0.02%
2018-07-13,"1,992.01","1,972.07","1,994.87","1,972.07",37.50M,1.49%
2018-07-16,"1,986.32","1,992.70","2,000.47","1,984.83",26.81M,-0.29%
2018-07-17,"1,984.68","1,986.57","1,993.69","1,975.59",37.35M,-0.08%
2018-07-18,"1,988.02","2,001.84","2,011.74","1,985.08",34.96M,0.17%
2018-07-19,"1,989.01","1,996.83","2,000.60","1,986.70",35.71M,0.05%
2018-07-20,"1,996.55","1,988.43","2,000.72","1,976.04",34.74M,0.38%
2018-07-23,"1,976.99","1,993.65","1,993.65","1,971.42",40.80M,-0.98%
2018-07-24,"1,976.53","1,977.87","1,981.58","1,965.25",33.51M,-0.02%
2018-07-25,"1,970.49","1,979.25","1,987.67","1,966.52",36.30M,-0.31%
2018-07-26,"1,986.04","1,977.95","1,993.58","1,969.69",37.08M,0.79%
2018-07-27,"1,991.65","1,986.15","1,991.87","1,979.82",27.39M,0.28%
2018-07-30,"1,986.95","1,985.11","1,990.56","1,977.92",22.80M,-0.24%
2018-07-31,"1,986.26","1,983.79","1,988.83","1,978.22",28.41M,-0.03%
2018-08-01,"1,993.23","1,992.12","2,002.53","1,988.89",27.37M,0.35%
2018-08-02,"1,956.86","1,990.39","1,991.21","1,952.90",30.14M,-1.82%
2018-08-03,"1,967.42","1,962.24","1,968.98","1,956.00",25.93M,0.54%
2018-08-06,"1,966.06","1,969.64","1,979.73","1,963.84",31.43M,-0.07%
2018-08-07,"1,982.89","1,970.53","1,984.46","1,963.02",35.42M,0.86%
2018-08-08,"1,985.99","1,989.86","1,994.08","1,982.72",36.90M,0.16%
2018-08-09,"1,987.67","1,985.37","1,987.67","1,974.29",42.68M,0.08%
2018-08-10,"1,955.69","1,974.00","1,975.93","1,951.81",44.17M,-1.61%
2018-08-13,"1,933.18","1,938.25","1,944.23","1,920.07",34.15M,-1.15%
2018-08-14,"1,939.58","1,933.33","1,943.95","1,930.62",29.96M,0.33%
2018-08-16,"1,918.93","1,908.07","1,925.05","1,899.98",38.35M,-1.06%
2018-08-17,"1,919.72","1,920.33","1,925.27","1,915.19",24.74M,0.04%
2018-08-20,"1,918.66","1,926.21","1,934.12","1,914.94",26.36M,-0.06%
2018-08-21,"1,941.97","1,917.32","1,945.47","1,913.88",34.31M,1.21%
2018-08-22,"1,953.61","1,945.83","1,958.25","1,942.97",36.98M,0.60%
2018-08-23,"1,961.92","1,960.78","1,962.47","1,948.20",26.47M,0.43%
2018-08-24,"1,969.61","1,953.82","1,971.77","1,949.85",27.09M,0.39%
2018-08-27,"1,980.44","1,975.46","1,983.95","1,969.85",26.56M,0.55%
2018-08-28,"1,980.03","1,993.40","1,993.87","1,975.59",29.63M,-0.02%
2018-08-29,"1,985.60","1,979.76","1,986.15","1,973.99",23.16M,0.28%
2018-08-30,"1,987.70","1,987.18","2,000.37","1,979.45",31.93M,0.11%
