일자,kospi,감성수치_벤치마킹,반응도_벤치마킹,감성수치_mc,반응도_mc,감성수치_ns,반응도_ns,감성수치_벤치마킹_ma7,감성수치_벤치마킹_ma15,감성수치_벤치마킹_ma30,감성수치_벤치마킹_ma90,감성수치_mc_ma7,감성수치_mc_ma15,감성수치_mc_ma30,감성수치_mc_ma90,감성수치_ns_ma7,감성수치_ns_ma15,감성수치_ns_ma30,감성수치_ns_ma90,반응도_벤치마킹_ma7,반응도_벤치마킹_ma15,반응도_벤치마킹_ma30,반응도_벤치마킹_ma90,반응도_mc_ma7,반응도_mc_ma15,반응도_mc_ma30,반응도_mc_ma90,반응도_ns_ma7,반응도_ns_ma15,반응도_ns_ma30,반응도_ns_ma90,감성+반응,감성+반응_벤치마킹_ma7,감성+반응_벤치마킹_ma15,감성+반응_벤치마킹_ma30,감성+반응_벤치마킹_ma90,감성+반응_mc,감성+반응_mc_ma7,감성+반응_mc_ma15,감성+반응_mc_ma30,감성+반응_mc_ma90,감성+반응_ns,감성+반응_ns_ma7,감성+반응_ns_ma15,감성+반응_ns_ma30,감성+반응_ns_ma90
2021-01-11,0.9151534098401057,0.1791120803333333,0.287551666,0.3064380283487533,0.570333318565847,0.3736886650128501,0.7218597093343665,0.27245221662577407,0.21364677204505095,0.19433651279209296,0.18083645613728977,0.38831443556377054,0.33338316308892596,0.3319144159642896,0.28923863227890445,0.48449452418027067,0.42164978313199214,0.4366695656401316,0.4062797987090227,0.32997862038101405,0.2604465617319119,0.24335333265977788,0.25871330751341537,0.5388265762943211,0.4167717625633871,0.39050514953690046,0.38390423472726604,0.648938571643231,0.5693326392116967,0.570238867570707,0.6023703873133609,0.051503977100575825,0.08990340656192211,0.05564356720425507,0.04729243804543538,0.0467847976862829,0.17477181764291957,0.20923413784048822,0.13894468848952882,0.1296142886395879,0.11103993577859392,0.26975079110772343,0.3144071844905117,0.24005898385357666,0.24900595861322114,0.24473091970594832
2021-01-12,0.9029752511464592,0.3668646355563492,0.4548518816436507,0.4937716076372027,0.634701709777791,0.5907391887459899,0.8082804101262356,0.27399297692895064,0.22419643183663823,0.1975613833087861,0.18188022495998954,0.3998193280478174,0.33890019495619533,0.3359090326421646,0.29056463014564515,0.4704817504685282,0.4264233522526677,0.43787372537570496,0.4066735542968587,0.3291846614942813,0.2756049243737637,0.24645640795715884,0.25937471106869275,0.5454052210145134,0.43088574876331537,0.3969931754972748,0.3848358317507138,0.6451066650731547,0.5875022575083488,0.5735252255299296,0.6019362297224474,0.16686906979131758,0.09019428536216705,0.06178964064120435,0.048690268881330816,0.047175130798106125,0.3133976836070611,0.21806354897979408,0.14602726425973378,0.13335359354683066,0.11181968111943788,0.4774829137572484,0.30351091302253236,0.2505246821027201,0.25113162709973164,0.24479154600127814
2021-01-13,0.9150668572306382,0.1220756639444444,0.3264093164523809,0.3141860077144937,0.5629053738146179,0.4109639988805486,0.7244267707625105,0.24223265294814258,0.22507842821494514,0.19385010959489718,0.1808978982880554,0.3721306605341819,0.3387262069997949,0.3315881463143412,0.28947645496910734,0.4315728214904471,0.43395004891697603,0.43033858774210654,0.40636257544615884,0.3242530853003213,0.2802658470843457,0.24899434071575668,0.26043983217359573,0.5511064785161199,0.44224414912599214,0.4003754028882249,0.3863454879732813,0.6418424322177289,0.5907394919713985,0.5747645725270158,0.6041474203592345,0.03984663402357666,0.07854468507891721,0.0630817963440747,0.0482675802362586,0.04711301827069733,0.17685699211984948,0.20508361787487064,0.14979968320129897,0.132759737673564,0.11183792225181537,0.2977133226086838,0.2770017494244963,0.25635143143817796,0.24734337442547158,0.24550290168633168
2021-01-14,0.9159544517726205,0.2667950348388889,0.4989297226666667,0.456146772035277,0.6784452013361578,0.3767574687321621,0.826789423451252,0.22342339625248878,0.23412622915235254,0.1966633081213787,0.180934637536465,0.35959023335692475,0.35932866472513986,0.332036507024456,0.2907895346229629,0.39038076940564104,0.44349246277415044,0.4247705983239161,0.4040525190643621,0.33123178146918,0.3025677889880495,0.25725671915871967,0.26251043592132633,0.5550857711668208,0.4767915972984193,0.4049306007067139,0.3887979911169318,0.6459813871063795,0.6191108081518636,0.5798149680656136,0.6055079816630237,0.1331119727410105,0.07400492956260636,0.07083905549873672,0.05059295742620627,0.0474972305729646,0.30947058859231197,0.1996034219869856,0.1713248880094076,0.13445174224597198,0.11305838689923547,0.3114990903540174,0.2521787109203117,0.27457097703736455,0.246288350902393,0.2446570253045223
2021-01-15,0.881298102150445,-0.0420330466666666,0.0420330466666666,-0.0155328786463766,0.0155328786463766,-0.2189017556996966,0.2189017556996966,0.20790212257391733,0.22470532626346365,0.18515262325026755,0.17903694912782298,0.3104140384739975,0.3504506905324881,0.31593831458966093,0.2866918527147237,0.3381605934677326,0.4257824679026763,0.3969241856419336,0.3965410385286227,0.32771994969537044,0.29430857321027165,0.2477314262681641,0.26043658714786955,0.5103475416114297,0.4684508467927204,0.3892786748215005,0.38403655972886824,0.6563045699398129,0.6066586884522939,0.5629932821352368,0.6001173020997457,-0.0017667770120821723,0.06813367315148493,0.06613270396534857,0.04586812343508082,0.04662777200421696,-0.00024127031904306215,0.15841904141688037,0.16416892273903766,0.12298804842880155,0.11010015281885788,-0.04791797864840966,0.22193634286643213,0.25830463354381855,0.22346565003340824,0.23797113821362836
2021-01-18,0.8423442481132457,0.2361866012731481,0.3570015966435185,0.1517118729088922,0.5413602284168048,0.3979957211178608,0.8293628320138782,0.18580732065897582,0.23114689685510548,0.19291548503363176,0.17976400751491148,0.27749843256192425,0.33988687911145077,0.32122484196175655,0.2883590716460924,0.3752519814126624,0.4461938937490954,0.41165368599174174,0.4010530755861429,0.29950381145485633,0.3110509143122951,0.25888406450461476,0.26189663227528726,0.4584312909071663,0.49456121201348735,0.41396247003495484,0.3885968935227204,0.6577668553807587,0.6547747237502552,0.5904138750506595,0.606850390904091,0.08431899376031995,0.055650000733577926,0.07189845360723032,0.049942744871385766,0.04707958817246475,0.08213077417149914,0.12721396466407817,0.16809486688084074,0.13297502901507674,0.11205543946076708,0.3300828583957147,0.2468283157892059,0.2921564835186147,0.2430460479252716,0.24337921569273877
2021-01-19,0.8849569676860288,0.1248590132995671,0.229754458847619,0.0602195479028881,0.4034952742520802,0.3438359950877633,0.6705229880173471,0.15123508890800694,0.2221783849528544,0.19008265740472843,0.17958576988689742,0.21556242402845074,0.31472730831885004,0.3099929767238814,0.28482581915951316,0.33998009660434436,0.42413743561588635,0.40355041982070056,0.3993787572420198,0.26734703676970895,0.30907543211324745,0.25954775172731315,0.2615874041057701,0.42540180011777906,0.49228668964416605,0.4141731290087194,0.3878586363059503,0.6380872236509175,0.6544973984790183,0.5932001753106045,0.6063119360227303,0.0286869150328897,0.040432252875159135,0.06866988033552691,0.04933552637175038,0.046977375359049674,0.024298302996412117,0.09170064321945494,0.1549360647529055,0.12839076114045705,0.11047215380393399,0.23054993881416494,0.21693695593883683,0.2775968482081598,0.23938617978430762,0.24214810750976104
2021-01-20,0.8968050371176582,0.3072237651746031,0.4230077327936508,0.3666561064959578,0.5179181630837691,0.4819133276213135,0.7914433628827457,0.17768481765517244,0.2189213484022204,0.1925507754586967,0.1801031054056341,0.22305815242580276,0.311621891401989,0.30925188405961845,0.2866655306940589,0.35011571499588223,0.41034308380876144,0.4037697928163327,0.39948893839213984,0.28114681053274754,0.3065819747094388,0.26365371461302745,0.26133956520000456,0.41897505572765775,0.48757115406732104,0.4164597684007792,0.38992339122796454,0.6476610225252369,0.6515867055967501,0.5951436502835686,0.6069094843287839,0.1299580283668378,0.04995551976384456,0.06711733929920578,0.050766727201304346,0.04706806725787901,0.18989785715983332,0.09345580184310909,0.15193784522350914,0.12879096801297332,0.11177759587639162,0.38140710463062677,0.22675630197638752,0.267374098143362,0.24030102837095246,0.2424536255946269
2021-01-21,0.9218595900455289,0.2576221397333333,0.3184731853999999,0.4620990797557295,0.5081164331758659,0.5217101842221674,0.7200990722626629,0.17637440406866453,0.2131362955971026,0.19059388849896608,0.18041263327230073,0.22390848210015313,0.30856138469837474,0.3086710665324523,0.2931314705813324,0.3708232457801687,0.3995686626417649,0.39788265972096787,0.40073346964461776,0.25536730520893797,0.3037514970820988,0.2611167996257355,0.26094771986049836,0.39464237456190177,0.4865791448588207,0.4159243829703945,0.38977244794794585,0.6324195437840098,0.6497748836975615,0.5930224004372462,0.6064158214778151,0.08204574347043854,0.04504025627484721,0.06474046887015265,0.0497672661930743,0.047078265286435154,0.23480013617933124,0.08836377506055551,0.1501395347029888,0.1283838228883238,0.11425457085906719,0.3756830196483657,0.2345158679208,0.25962968129724295,0.23595332996008436,0.24301111618819599
2021-01-22,0.9109207863245898,0.1387004303333333,0.2279259189999999,0.1919714049454509,0.4244318648048932,0.2329237618369842,0.6818578553054838,0.20219347221152165,0.19581900217209375,0.1918341163967835,0.18028392620872047,0.2535519511846999,0.28509749420966635,0.30363691817668187,0.29066185593534105,0.4353697482854088,0.3707567912091768,0.39840940327515706,0.40000330717027716,0.28192342982798557,0.288941301716455,0.2632681717092672,0.2598297961690169,0.45305651544168984,0.4715019256603968,0.41786827404191634,0.3885075000812621,0.6985561294419795,0.6420442914358806,0.6019957705835282,0.605677227962912,0.03161342304942045,0.057003077174701676,0.05658019738842209,0.050503817095243944,0.046843135799361925,0.08147878139021301,0.11487336348718159,0.1344240175208115,0.12688023493389664,0.11292431101841931,0.15882089669585137,0.3041302062383841,0.23804228130693666,0.2398407757323518,0.24227289426289067
