Date,Open,High,Low,Close,Volume,Change
2022-10-11,16900,16950,16000,16100,124233,-0.08262108262108259
2022-10-12,15950,16400,15650,16200,107444,0.006211180124223503
2022-10-13,16100,16200,15100,15250,98282,-0.058641975308642014
2022-10-14,15800,16550,15800,16300,121557,0.06885245901639347
2022-10-17,15850,16700,15500,16400,83239,0.006134969325153339
2022-10-18,18000,20650,17900,17900,1820492,0.09146341463414642
2022-10-19,18400,18700,17300,17850,392863,-0.0027932960893854997
2022-10-20,17700,18350,17400,17950,251920,0.0056022408963585235
2022-10-21,17750,17800,17050,17150,166196,-0.04456824512534818
2022-10-24,17700,18100,17300,17300,116402,0.008746355685131268
2022-10-25,17500,18050,17450,17650,116907,0.020231213872832443
2022-10-26,18250,18250,17450,17550,108168,-0.005665722379603388
2022-10-27,17650,18300,17650,18100,194761,0.031339031339031376
2022-10-28,17700,17800,16950,17000,179735,-0.06077348066298338
2022-10-31,17400,17400,17000,17100,66250,0.00588235294117645
2022-11-01,16950,17200,16800,17200,84388,0.005847953216374213
2022-11-02,17050,18500,16850,18250,235487,0.061046511627907085
2022-11-03,17500,18200,17400,18100,176943,-0.008219178082191747
2022-11-04,18850,19250,18050,18100,449694,0.0
2022-11-07,18200,18500,17750,18450,122768,0.01933701657458564
2022-11-08,18700,19100,18550,18600,232724,0.008130081300812941
2022-11-09,18600,19300,18450,18450,173747,-0.008064516129032251
2022-11-10,18050,18250,17850,18100,87889,-0.01897018970189701
2022-11-11,19200,19850,18700,19750,581382,0.09116022099447507
