Date,Open,High,Low,Close,Volume,Change
2022-04-07,22200,22650,21750,21850,209067,-0.017977528089887618
2022-04-08,21900,22100,20950,21500,224915,-0.016018306636155555
2022-04-11,21150,21550,21000,21350,115241,-0.006976744186046546
2022-04-12,21000,21200,20750,20900,123489,-0.021077283372365363
2022-04-13,21000,21700,21000,21650,145776,0.03588516746411474
2022-04-14,22000,22000,21200,21700,123414,0.002309468822170979
2022-04-15,21500,21700,21400,21450,79215,-0.011520737327188946
2022-04-18,21500,22650,21350,22600,538771,0.053613053613053685
2022-04-19,22650,22850,22300,22450,230444,-0.006637168141592875
2022-04-20,22700,22850,22200,22200,200331,-0.011135857461024523
2022-04-21,22300,22600,21950,22000,150174,-0.009009009009009028
2022-04-22,22000,22550,21650,22300,323563,0.013636363636363669
2022-04-25,22100,22100,21050,21050,251272,-0.056053811659192876
2022-04-26,21450,21700,21200,21250,128309,0.009501187648456089
2022-04-27,20500,21450,20450,21200,140987,-0.0023529411764705577
2022-04-28,21550,21550,20850,20950,85047,-0.011792452830188704
2022-04-29,21000,21300,20100,20500,144962,-0.021479713603818618
2022-05-02,20100,21400,19950,21350,183829,0.04146341463414638
2022-05-03,21150,21200,20800,20800,114407,-0.025761124121779888
2022-05-04,21100,21100,20400,20450,102221,-0.016826923076923128
2022-05-06,20300,20450,19950,20000,95285,-0.022004889975550168
2022-05-09,19950,20000,18550,18650,236020,-0.0675
2022-05-10,18050,19300,18050,19200,143661,0.029490616621983934
2022-05-11,19200,19400,19000,19150,75978,-0.0026041666666666297
2022-05-12,18800,19300,18400,18650,120261,-0.026109660574412552
2022-05-13,19400,19450,18950,19200,79887,0.029490616621983934
2022-05-16,19700,19750,18900,19050,86029,-0.0078125
2022-05-17,19050,19650,18850,19350,99041,0.015748031496062964
2022-05-18,19900,20250,19750,20100,161362,0.03875968992248069
2022-05-19,19500,20450,19450,20300,145056,0.00995024875621886
2022-05-20,20750,20850,20150,20300,115215,0.0
2022-05-23,20500,20550,19950,20250,77788,-0.0024630541871921707
2022-05-24,20200,20250,19500,19500,106291,-0.03703703703703709
2022-05-25,19750,20150,19450,19600,91883,0.00512820512820511
2022-05-26,19600,20100,19250,19400,65380,-0.010204081632653073
2022-05-27,19700,19750,19150,19150,67241,-0.012886597938144284
2022-05-30,19500,19700,19450,19700,51652,0.02872062663185382
2022-05-31,19900,19900,19600,19700,54338,0.0
2022-06-02,20000,20350,19700,19800,99371,0.0050761421319796
2022-06-03,20000,20050,19750,19950,60767,0.007575757575757569
2022-06-07,19800,19900,19000,19100,91333,-0.04260651629072687
2022-06-08,19250,19350,18850,19000,45594,-0.005235602094240788
2022-06-09,18850,19700,18650,19450,71521,0.023684210526315752
2022-06-10,20250,21300,19450,19450,673029,0.0
2022-06-13,18850,19700,18600,18850,203078,-0.03084832904884316
2022-06-14,18500,18850,17700,18150,224610,-0.037135278514588865
2022-06-15,17900,18150,16500,16950,219999,-0.06611570247933884
2022-06-16,17300,18100,16850,17400,211020,0.026548672566371723
2022-06-17,16500,17450,16400,17250,182418,-0.008620689655172376
2022-06-20,17050,17150,15450,15700,272418,-0.08985507246376812
2022-06-21,15750,16050,15400,15850,135908,0.009554140127388644
2022-06-22,16000,16100,14400,14400,284904,-0.09148264984227128
2022-06-23,14400,14800,13750,13750,257603,-0.04513888888888884
2022-06-24,13650,14750,13600,14550,166937,0.05818181818181811
2022-06-27,14750,15300,14500,15100,111713,0.037800687285223455
2022-06-28,14950,15500,14950,15450,75461,0.023178807947019875
2022-06-29,15100,15650,15000,15600,60220,0.009708737864077666
2022-06-30,15450,15450,14750,14750,88570,-0.054487179487179516
2022-07-01,14800,15200,14200,14350,86002,-0.027118644067796627
2022-07-04,14450,14650,13800,14350,86184,0.0
2022-07-05,14550,15300,14550,15250,117120,0.06271777003484313
2022-07-06,15100,15450,14950,14950,72423,-0.01967213114754096
2022-07-07,15150,15550,15100,15500,62617,0.03678929765886285
2022-07-08,15650,15800,15400,15400,61329,-0.006451612903225823
2022-07-11,15450,15750,15100,15400,66298,0.0
2022-07-12,15250,15400,14800,14950,88205,-0.02922077922077926
2022-07-13,15000,15650,14700,15600,71089,0.04347826086956519
2022-07-14,15400,15800,15350,15600,81288,0.0
2022-07-15,15700,16050,15100,15750,145178,0.009615384615384581
2022-07-18,15950,16250,15900,16000,83092,0.015873015873015817
2022-07-19,15900,16050,15700,16000,51243,0.0
2022-07-20,16300,16600,16100,16150,97405,0.009374999999999911
2022-07-21,16250,17000,16150,16750,225025,0.037151702786377694
2022-07-22,16900,16900,16350,16550,72274,-0.011940298507462699
2022-07-25,16300,16600,16150,16400,80831,-0.009063444108761365
2022-07-26,16250,16800,16150,16600,82962,0.012195121951219523
2022-07-27,16400,17150,16400,16950,124407,0.02108433734939763
2022-07-28,17300,17900,16900,17700,274558,0.04424778761061954
2022-07-29,17850,17950,17500,17750,166121,0.0028248587570620654
2022-08-01,18000,18350,17750,18150,140106,0.022535211267605604
2022-08-02,18200,18600,17800,18450,158380,0.016528925619834656
2022-08-03,18950,19050,18500,18500,163713,0.0027100271002709064
2022-08-04,18850,18850,18350,18450,97479,-0.002702702702702675
2022-08-05,18400,18600,17850,18550,128652,0.005420054200542035
2022-08-08,18400,18550,18050,18550,74509,0.0
2022-08-09,18500,18550,18250,18500,76181,-0.0026954177897574594
2022-08-10,18500,19050,18500,18650,163524,0.008108108108108025
2022-08-11,18950,19100,18650,18750,116220,0.00536193029490617
2022-08-12,18950,19400,18750,18850,180722,0.005333333333333412
2022-08-16,19200,19350,18750,19150,145835,0.01591511936339529
2022-08-17,19250,19250,18300,18300,141138,-0.044386422976501305
2022-08-18,18050,18450,18000,18350,77900,0.002732240437158362
2022-08-19,18450,18500,18000,18000,64895,-0.019073569482288777
2022-08-22,17450,17800,17250,17450,83119,-0.030555555555555558
2022-08-23,17200,17400,16900,17000,89494,-0.025787965616045794
2022-08-24,17050,17450,16850,17150,69413,0.008823529411764675
2022-08-25,17300,17550,17100,17450,71171,0.017492711370262315
2022-08-26,17700,17700,17200,17200,57835,-0.014326647564469885
2022-08-29,16300,16700,16300,16500,99476,-0.04069767441860461
2022-08-30,16600,17200,16600,17100,68275,0.036363636363636376
2022-08-31,16900,17550,16850,17450,50708,0.020467836257309857
2022-09-01,17300,17350,16500,16700,85123,-0.04297994269340977
2022-09-02,17150,17150,16500,16650,62807,-0.0029940119760478723
2022-09-05,16550,16750,15800,16000,85735,-0.03903903903903905
2022-09-06,15900,16250,15900,16100,42034,0.006250000000000089
2022-09-07,16400,16400,15550,15600,52262,-0.03105590062111796
2022-09-08,15750,16050,15600,15700,36136,0.0064102564102563875
2022-09-13,16150,16550,16050,16500,50704,0.05095541401273884
2022-09-14,15900,16300,15700,16200,39806,-0.018181818181818188
2022-09-15,16350,16400,16050,16050,31153,-0.0092592592592593
2022-09-16,15950,16400,15800,16300,56037,0.015576323987538832
2022-09-19,16500,17100,16200,16300,120004,0.0
2022-09-20,16800,17000,16400,16650,85484,0.021472392638036908
2022-09-21,16650,16750,16200,16450,66970,-0.012012012012011963
2022-09-22,16200,17500,16050,17150,239658,0.042553191489361764
2022-09-23,17300,18600,17300,18050,836240,0.05247813411078717
2022-09-26,17950,17950,15500,15650,412587,-0.13296398891966754
2022-09-27,16250,16500,15000,15500,237446,-0.009584664536741228
2022-09-28,15300,15700,14200,14250,190570,-0.08064516129032262
2022-09-29,14600,14800,13900,13900,107525,-0.024561403508771895
2022-09-30,13600,14250,13500,14100,97807,0.014388489208633004
2022-10-04,15900,18300,15900,17050,2209813,0.20921985815602828
